17:32:46.634 [main] INFO  com.enes.dronegcs.Main - Drone GCS başlatıldı. MAVLink mesajları dinleniyor...
17:32:53.619 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:53.866 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:54.119 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:54.287 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:54.371 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:54.616 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:54.869 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:55.120 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:55.288 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:55.366 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: 0.0m
17:32:55.616 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:55.866 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:56.119 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:56.288 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:56.368 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:56.619 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:56.870 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:57.115 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:57.286 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:57.370 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:57.617 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:57.870 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:58.115 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:58.285 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:58.366 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:58.619 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:58.866 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:59.116 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:59.285 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:32:59.369 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652374 | İrtifa: -0.001m
17:32:59.621 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:32:59.869 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:00.122 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:00.292 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:00.369 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:00.620 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:00.870 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632622 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:01.116 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:01.287 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:01.366 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:01.621 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:01.871 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:02.120 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:02.288 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Heartbeat alındı! Sistem ID: 1
17:33:02.369 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:02.616 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.001m
17:33:02.869 [main] INFO  c.e.dronegcs.MavlinkMessageHandler - Konum güncellendi! Sistem ID: 1 | Enlem: -35.3632621 | Boylam: 149.1652375 | İrtifa: -0.002m
